epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,7829.13,0.80447,1.27304,0.53486,1.10147,0.66326,0.7307,0.68161,0.41053,0.63667,0.76098,0.67294,0.38161,1.49006,2.45289,0.9566,1.7758,0.000866375,0.000866375,0.000866375
64,7941.43,0.80348,1.26811,0.52412,1.08223,0.61523,0.80008,0.69607,0.39257,0.6586,0.72599,0.67186,0.37124,1.49693,2.34882,1.01825,1.82257,0.000860188,0.000860188,0.000860188
65,8053.63,0.81615,1.24851,0.52511,1.08373,0.70229,0.71756,0.70435,0.42014,0.6955,0.71118,0.70259,0.39983,1.5415,2.60597,0.96353,1.88036,0.000854,0.000854,0.000854
66,8165.88,0.78329,1.22812,0.51741,1.07042,0.6765,0.80831,0.73493,0.43084,0.66955,0.797,0.71733,0.40734,1.5335,2.48854,0.91972,1.86564,0.000847813,0.000847813,0.000847813
67,8277.99,0.78567,1.22058,0.51293,1.06999,0.67119,0.78535,0.7122,0.43207,0.66111,0.7706,0.6965,0.39983,1.55134,2.78616,0.94658,1.97053,0.000841625,0.000841625,0.000841625
68,8389.94,0.78279,1.21952,0.51098,1.06197,0.6543,0.751,0.68766,0.41517,0.65488,0.76006,0.68925,0.39551,1.43563,2.50544,0.9298,1.75138,0.000835438,0.000835438,0.000835438
69,8502.29,0.77351,1.22743,0.49766,1.06253,0.7036,0.65748,0.67199,0.3885,0.69726,0.65098,0.66567,0.37619,1.47758,2.49114,1.04748,1.84747,0.00082925,0.00082925,0.00082925
70,8614.63,0.7633,1.18857,0.48855,1.04224,0.67233,0.71983,0.6914,0.41641,0.68435,0.73856,0.69681,0.39115,1.50243,2.48831,0.96262,1.84638,0.000823063,0.000823063,0.000823063
71,8726.69,0.74234,1.19661,0.48551,1.04776,0.68148,0.76716,0.70805,0.42823,0.69775,0.74941,0.70052,0.405,1.43487,2.53104,0.88529,1.78569,0.000816875,0.000816875,0.000816875
72,8838.75,0.74353,1.17008,0.48608,1.05159,0.64399,0.69932,0.6878,0.40291,0.64336,0.69635,0.68646,0.38522,1.55832,2.65416,1.03209,1.88872,0.000810688,0.000810688,0.000810688
